uid,iid,rating
0,616,3
0,809,3
0,2067,5
0,1051,3
0,2493,5
0,561,4
0,562,5
0,2110,4
0,920,5
0,2480,4
0,2378,3
0,1755,4
0,2486,4
0,2033,3
0,659,3
0,1122,5
0,2052,3
0,47,5
0,1359,4
0,676,3
0,1375,4
0,908,5
0,2452,4
0,138,5
0,1699,4
0,2383,4
0,245,4
0,914,5
0,2784,4
0,574,4
0,1098,4
4,2662,4
4,38,3
4,270,2
4,1352,4
4,1296,3
4,764,2
4,1478,3
4,1479,3
4,2596,1
4,2460,4
4,201,3
4,474,1
4,479,4
4,1102,5
4,3399,2
4,482,4
4,40,4
4,1412,4
4,1793,1
4,3405,3
4,46,3
4,2390,4
4,664,4
4,281,3
4,1648,3
4,138,2
4,209,3
4,3336,2
4,214,3
4,2542,4
4,930,5
4,488,4
4,50,2
4,1047,5
4,2751,3
4,357,4
4,1120,2
4,2139,5
4,3136,1
4,2067,5
4,2071,3
4,2406,3
4,2275,5
4,2003,4
4,150,4
4,996,1
4,2690,4
4,1804,2
4,2149,2
4,2005,5
4,1433,4
4,2413,4
4,2415,2
4,1661,3
4,2283,4
4,3018,2
4,3352,1
4,862,3
4,1550,3
4,299,3
4,574,4
4,1499,4
4,1439,3
4,2840,2
4,2495,2
4,1445,4
4,1750,3
4,2770,1
4,1067,5
4,1324,3
4,2635,4
4,1331,3
4,1449,2
4,1511,4
4,2574,4
4,2783,1
4,15,3
4,1766,4
4,1338,4
4,965,5
4,808,5
4,3041,3
4,1515,3
4,2102,4
4,1516,4
4,2919,2
4,2920,4
4,2107,5
4,1397,1
4,2376,3
4,882,5
4,2723,2
4,2035,4
4,971,4
4,1346,3
4,1348,4
4,1523,2
4,2591,4
4,2452,3
4,2383,4
4,1703,2
4,3122,3
4,31,4
4,3392,3
4,33,4
4,337,2
4,35,3
5,2118,5
5,977,4
5,3325,4
5,920,5
5,47,5
5,1043,4
5,928,4
5,2542,1
5,357,3
5,562,4
5,2215,3
5,3146,3
5,1375,4
5,1376,4
5,1743,4
5,1816,3
5,3157,5
5,1064,3
5,3360,5
5,3290,3
5,1754,3
5,3293,3
5,3221,3
5,1148,3
5,748,4
5,1684,5
5,16,4
5,3307,4
5,1276,4
5,807,4
5,185,5
5,809,5
5,1563,3
5,2108,4
5,1696,3
5,2033,3
5,1223,5
5,815,4
5,540,4
5,33,4
7,38,3
7,270,5
7,3055,3
7,1296,4
7,1235,5
7,2596,5
7,479,3
7,2873,3
7,608,5
7,1992,3
7,2199,2
7,556,5
7,1487,3
7,138,4
7,139,4
7,483,3
7,3,3
7,2542,5
7,1422,3
7,357,4
7,2139,5
7,56,5
7,2402,3
7,2141,2
7,1587,4
7,2275,5
7,1654,5
7,1314,3
7,215,4
7,990,4
7,149,3
7,1250,5
7,1129,3
7,2005,5
7,3150,4
7,2011,3
7,3018,3
7,1743,3
7,574,5
7,511,3
7,1202,4
7,2837,2
7,102,4
7,1064,4
7,1067,5
7,238,5
7,2777,5
7,2903,3
7,2909,5
7,2910,3
7,1449,5
7,2912,4
7,1760,3
7,13,4
7,317,5
7,15,4
7,16,4
7,2027,3
7,254,4
7,1560,3
7,1456,3
7,2918,5
7,1517,4
7,2920,5
7,2108,5
7,2377,4
7,2379,3
7,325,3
7,2032,2
7,2036,3
7,1566,2
7,1468,5
7,2591,3
7,1473,5
7,2383,5
7,267,3
7,35,4
8,1296,4
8,1235,3
8,3325,3
8,3399,4
8,659,4
8,46,5
8,1992,4
8,138,3
8,2945,4
8,2542,4
8,722,3
8,3133,3
8,357,3
8,3136,3
8,2067,4
8,2275,5
8,282,4
8,150,4
8,2827,3
8,676,4
8,1661,5
8,1547,3
8,942,4
8,299,5
8,574,4
8,1203,4
8,2842,3
8,1064,4
8,3431,2
8,1067,4
8,2016,4
8,1324,4
8,2635,4
8,2906,4
8,2908,4
8,1449,4
8,748,3
8,1387,5
8,1075,4
8,2574,5
8,2784,4
8,15,4
8,965,4
8,807,4
8,1280,3
8,1464,3
8,3514,3
8,882,4
8,1086,3
8,2036,5
8,815,3
8,2452,4
8,2383,4
8,1160,3
8,402,3
10,202,4
10,1043,4
10,2396,2
10,554,3
10,2334,2
10,1870,1
10,2400,3
10,1051,5
10,2402,1
10,1654,4
10,3078,4
10,216,3
10,1810,4
10,1130,3
10,1661,5
10,2283,5
10,1547,5
10,299,5
10,231,4
10,234,3
10,1203,5
10,1140,4
10,2493,5
10,2495,1
10,3028,1
10,2771,1
10,2016,4
10,2777,3
10,691,5
10,313,4
10,1276,3
10,1908,4
10,2376,4
10,1629,2
10,325,4
10,2033,3
10,2798,4
10,2452,5
10,3122,2
10,337,1
10,35,3
10,2047,3
10,1292,1
10,1236,4
10,409,1
10,46,3
10,2814,3
10,927,2
10,2542,5
10,488,3
10,2067,1
10,2071,2
10,3415,5
10,2480,4
10,2827,4
10,1372,5
10,1322,3
10,1004,4
10,574,5
10,2840,3
10,2842,4
10,1067,4
10,2567,3
10,2635,5
10,516,5
10,2908,3
10,2846,1
10,956,4
10,454,5
10,965,5
10,1460,2
10,2108,2
10,882,5
10,1843,5
10,648,1
10,1468,3
10,1523,3
10,1096,4
12,2662,3
12,606,3
12,1789,3
12,556,5
12,1485,3
12,1,3
12,141,3
12,1177,4
12,1869,3
12,1114,4
12,1050,5
12,1051,4
12,670,4
12,2335,3
12,2275,5
12,297,3
12,299,4
12,309,4
12,2708,3
12,1895,4
12,1143,4
12,895,2
12,3105,4
12,9,3
12,245,5
12,1213,3
12,1215,4
12,1280,3
12,1217,4
12,1218,3
12,2510,3
12,2377,4
12,1346,4
12,3117,2
12,395,5
12,1704,3
12,1235,3
12,2596,3
12,408,3
12,1412,3
12,2126,2
12,1306,3
12,932,3
12,490,3
12,847,3
12,996,4
12,998,3
12,360,3
12,58,2
12,432,3
12,1739,3
12,3353,3
12,1743,3
12,2839,3
12,1064,4
12,1070,3
12,2909,3
12,1390,3
12,2644,3
12,3307,3
12,524,3
12,2922,3
12,1086,3
12,3047,3
12,2312,3
12,2181,3
12,2313,3
12,1781,4
14,606,4
14,2994,2
14,2195,3
14,131,4
14,1860,3
14,1793,3
14,611,2
14,2396,4
14,2397,4
14,554,3
14,2199,4
14,1648,4
14,2945,4
14,2205,3
14,2679,2
14,722,4
14,3133,5
14,1050,4
14,2402,3
14,2335,3
14,1587,2
14,2275,4
14,282,4
14,216,2
14,148,2
14,149,4
14,1250,3
14,1123,3
14,2414,3
14,1661,4
14,3018,2
14,1547,3
14,299,4
14,3156,2
14,2016,3
14,1324,3
14,242,3
14,2778,4
14,1895,2
14,1143,2
14,742,4
14,690,3
14,245,4
14,2783,4
14,1213,4
14,2376,4
14,1625,3
14,3113,4
14,2379,3
14,324,4
14,2033,2
14,1346,4
14,2591,3
14,2452,4
14,2454,3
14,2385,4
14,1632,4
14,3122,4
14,31,3
14,337,1
14,1296,4
14,1238,4
14,2526,4
14,3325,3
14,2596,4
14,2460,1
14,408,3
14,1412,4
14,46,4
14,1417,3
14,1992,2
14,3331,4
14,2542,4
14,415,3
14,490,3
14,2751,3
14,2139,2
14,1426,4
14,1313,4
14,360,3
14,2210,4
14,2827,2
14,2215,2
14,2145,4
14,1739,3
14,1743,4
14,2900,2
14,1440,3
14,2840,4
14,2842,4
14,1064,4
14,3360,5
14,1067,4
14,2566,3
14,2635,3
14,2909,4
14,1511,2
14,2101,4
14,525,4
14,590,4
14,2914,2
14,2301,3
14,1561,4
14,1562,4
14,2106,4
14,2108,4
14,1400,4
14,3380,2
14,968,4
14,1566,4
14,2313,1
14,1467,4
14,1468,3
15,2662,3
15,2325,2
15,2195,3
15,2272,1
15,2679,3
15,1121,4
15,2403,2
15,1650,3
15,3139,3
15,2338,3
15,2690,2
15,2412,2
15,2413,2
15,2414,4
15,2494,3
15,2376,4
15,2460,3
15,2540,1
15,2067,5
15,2839,4
15,2572,3
15,2106,5
16,2260,4
16,2261,3
16,3399,4
16,1105,5
16,659,5
16,1793,3
16,556,5
16,1648,4
16,3481,4
16,3133,4
16,1050,5
16,2335,4
16,562,5
16,2275,4
16,282,5
16,3012,4
16,220,5
16,150,5
16,1874,4
16,1122,5
16,1661,4
16,2351,5
16,297,4
16,299,5
16,300,4
16,1265,3
16,681,5
16,1136,5
16,1203,4
16,2354,4
16,2356,5
16,2357,3
16,2358,5
16,2362,2
16,2704,3
16,309,3
16,2705,4
16,2778,3
16,1827,4
16,3098,4
16,245,5
16,2024,4
16,2784,5
16,1213,3
16,1907,5
16,184,4
16,808,5
16,1217,4
16,2442,4
16,320,3
16,2033,5
16,1346,5
16,3308,4
16,819,5
16,3309,4
16,3310,3
16,3311,5
16,3312,4
16,2591,3
16,2452,5
16,31,5
16,402,5
16,1404,3
16,33,5
16,2119,4
16,1238,3
16,3325,4
16,2596,5
16,3192,4
16,476,2
16,1412,4
16,1416,5
16,2542,5
16,419,5
16,2823,4
16,2067,4
16,2001,4
16,2003,4
16,3270,3
16,996,4
16,998,4
16,2947,4
16,2210,4
16,1734,4
16,1433,4
16,1054,4
16,3352,3
16,3353,4
16,862,4
16,1060,5
16,2839,5
16,2089,5
16,1064,4
16,3432,4
16,1067,4
16,1068,5
16,1069,4
16,514,5
16,953,5
16,2234,2
16,2909,4
16,2235,4
16,2165,2
16,2166,4
16,1449,5
16,2237,4
16,1511,4
16,1387,4
16,1758,5
16,3307,4
16,590,4
16,2976,3
16,2920,4
16,2922,3
16,2108,4
16,1397,4
16,1153,5
16,3047,5
16,2250,4
16,2256,3
16,1524,5
16,3525,4
