uid,iid,rating
6,765,4
6,5,4
6,2065,5
6,430,5
6,453,4
6,3048,3
13,2421,4
13,2514,2
13,1705,2
13,2600,5
13,1719,1
13,2652,3
18,2324,3
18,1528,3
18,1477,4
18,208,5
18,1117,4
18,1048,5
18,2409,3
18,1656,5
18,153,5
18,2410,1
18,3149,4
18,2347,1
18,1815,3
18,3089,4
18,1552,3
18,2298,4
18,1828,2
18,1219,3
18,814,4
18,3235,5
18,3248,4
18,2523,4
18,1698,5
18,911,3
18,2389,1
18,336,4
18,2048,2
18,1410,3
18,2527,5
18,2598,4
18,348,2
18,1719,5
18,2752,5
18,2065,3
18,430,3
18,1737,4
18,1738,5
18,2838,4
18,1500,2
18,2088,4
18,3359,4
18,951,5
18,1010,4
18,107,4
18,1074,5
18,453,4
18,2917,4
18,1159,4
18,2652,5
29,1117,4
29,2775,3
29,2822,2
29,2153,3
29,2913,3
29,3509,2
34,1103,4
34,3124,3
34,1040,4
34,3004,4
34,717,4
34,2279,4
34,1128,3
34,1815,2
34,2421,5
34,3089,4
34,3094,4
34,2702,4
34,1957,4
34,1146,4
34,1905,4
34,805,4
34,810,4
34,814,5
34,1692,2
34,1920,3
34,710,1
34,2048,3
34,978,5
34,915,1
34,2745,3
34,3198,4
34,2132,2
34,2819,5
34,2753,5
34,2612,5
34,2769,3
34,3418,1
34,3283,3
34,1071,5
34,1010,4
34,1074,1
34,957,3
34,1152,4
34,1469,3
34,3455,4
41,2324,5
41,1166,3
41,3470,4
41,1580,3
41,5,4
41,1117,5
41,1048,3
41,2336,4
41,2337,3
41,153,4
41,1659,3
41,679,3
41,3149,4
41,1662,1
41,1266,5
41,2774,4
41,172,3
41,1828,4
41,1339,4
41,1219,4
41,1220,3
41,814,5
41,2374,4
41,702,3
41,3248,5
41,710,4
41,1705,4
41,333,4
41,336,5
41,1410,3
41,347,3
41,1358,3
41,779,2
41,3413,4
41,430,4
41,1737,3
41,3348,4
41,1738,3
41,1748,4
41,576,4
41,951,4
41,1074,3
41,453,5
41,1459,4
41,1839,5
41,1156,3
41,1159,3
45,2324,1
45,1131,1
45,1706,5
45,1707,5
45,1719,5
45,1720,5
45,1721,5
45,3285,1
45,1500,5
56,1358,2
56,3235,3
56,414,2
56,523,4
56,453,3
58,1031,4
58,1103,3
58,1117,3
